apps,genre
"""com.google.android.apps.tasks""",PRODUCTIVITY
"""idgmc.apollo""",MEDICAL
"""app.sakemli""",FINANCE
"""com.fnx.android.app""",ENTERTAINMENT
"""com.nianticlabs.pokemongo""",GAME_ADVENTURE
"""clalitr.co.il""",MEDICAL
"""com.JindoBlu.OfflineGames""",GAME_CASUAL
"""com.samsung.android.biometrics.app.setting""",TOOLS
"""com.samsung.app.newtrim""",TOOLS
"""com.elinkthings.ailink.leaone1""",TOOLS
"""com.android.dreams.basic""",GAME_CASUAL
"""com.mobitti.yvc""",EDUCATION
"""com.egged.egg""",MAPS_AND_NAVIGATION
"""com.runawayplay.starlight""",GAME_CASUAL
"""com.savetheworld.game""",GAME_CASUAL
"""com.funtomic.matchmasters""",GAME_CASUAL
"""com.emeky.agudaapp""",FOOD_AND_DRINK
"""com.miui.player""",MUSIC_AND_AUDIO
"""sff.org.conventions""",PRODUCTIVITY
"""com.digibites.accubattery""",TOOLS
"""com.androidapp.restart""",TOOLS
"""il.co.elal.mobile""",TRAVEL_AND_LOCAL
"""com.i_fal""",EDUCATION
"""cloud.tabit.tflwl.prd.bfresh""",BUSINESS
"""com.gaiamtv""",LIFESTYLE
"""com.audible.application""",BOOKS_AND_REFERENCE
"""ai.perplexity.app.android""",PRODUCTIVITY
"""com.android.nfc""",TOOLS
"""com.xiaozhen.beauty.hnd""",TOOLS
"""com.ideomobile.maccabipregnancy""",HEALTH_AND_FITNESS
"""com.android.bluetooth""",TOOLS
"""com.nineoneone""",GAME_PUZZLE
"""bitgroup.weather2day""",WEATHER
"""com.samsung.android.app.sketchbook""",ART_AND_DESIGN
"""org.withouthat.acalendar""",PRODUCTIVITY
"""com.gengcon.android.jccloudprinter""",TOOLS
"""com.shebapp""",HEALTH_AND_FITNESS
"""co.il.move_club.shikum""",HEALTH_AND_FITNESS
"""com.betafish.adblocksbrowser""",PRODUCTIVITY
"""co.il.move_club.app1""",HEALTH_AND_FITNESS
"""com.google.android.healthconnect.controller""",HEALTH_AND_FITNESS
"""com.ibidev.ibitrade""",FINANCE
"""note.notepad.todo.notebook""",PRODUCTIVITY
"""com.camscanner.documentscanner.pdfscanner.textscanner.photos.scanner""",PRODUCTIVITY
"""il.co.offline.fitnessmaalot""",HEALTH_AND_FITNESS
"""com.life360.android.safetymapd""",LIFESTYLE
"""com.keshet.v1""",NEWS_AND_MAGAZINES
"""kranot.org.il""",EDUCATION
"""com.opentech.calcalist""",TOOLS
"""com.macrovideo.v380pro""",TOOLS
"""com.computerlunch.evolution""",GAME_SIMULATION
"""com.empatica.healthmonitor.lab""",HEALTH_AND_FITNESS
"""puzzle.merge.hotel.empire""",GAME_CASUAL
"""com.overdrive.mobile.android.libby""",BOOKS_AND_REFERENCE
"""com.tumblr""",SOCIAL
"""com.google.android.keep""",PRODUCTIVITY
"""io.randomco.travel""",GAME_PUZZLE
"""cn.wps.xiaomi.abroad.lite""",PRODUCTIVITY
"""com.puzzle.rings""",GAME_CASUAL
"""com.moodle.moodlemobile""",EDUCATION
"""com.samsung.android.app.sharelive""",LIFESTYLE
"""au.com.shiftyjelly.pocketcasts""",NEWS_AND_MAGAZINES
"""com.yeelight.cherry""",LIFESTYLE
"""com.alarmclock.xtreme.free""",PRODUCTIVITY
"""com.sec.android.app.music""",MUSIC_AND_AUDIO
"""com.Moed.Bet.App""",GAME_SPORTS
"""com.gotoezra.app""",FOOD_AND_DRINK
"""il.co.PriceZ.android""",PRODUCTIVITY
"""com.microsoft.todos""",PRODUCTIVITY
"""com.stardust.app""",HEALTH_AND_FITNESS
"""com.special.videoplayer""",VIDEO_PLAYERS
"""com.android.soundrecorder""",MUSIC_AND_AUDIO
"""com.cy.escapemerge""",GAME_CASUAL
"""com.xe.currency""",FINANCE
"""com.ebay.mobile""",SHOPPING
"""com.malam.hrm""",PRODUCTIVITY
"""com.miui.notification""",PERSONALIZATION
"""com.gramgames.mergemagic""",GAME_PUZZLE
"""com.StudioFolly.GUBBINS""",GAME_PUZZLE
"""il.co.bezeq.ezibiz""",COMMUNICATION
"""locator24.com.main""",PARENTING
"""com.pg.oralb.oralbapp""",HEALTH_AND_FITNESS
"""com.samsung.android.app.watchmanager""",TOOLS
"""com.samsung.wearable.fit3plugin""",TOOLS
"""com.samsung.accessory""",COMMUNICATION
"""com.google.android.apps.fitness""",HEALTH_AND_FITNESS
"""com.mobitti.telhai""",PRODUCTIVITY
"""com.zeasn.technical.phone.frames""",ENTERTAINMENT
"""is.vertical.ptsdcoachil""",HEALTH_AND_FITNESS
"""nhgh.com.medman""",HEALTH_AND_FITNESS
"""com.fitbit.FitbitMobile""",HEALTH_AND_FITNESS
"""x1Trackmaster.x1Trackmaster""",BUSINESS
"""com.mygenes.myapp""",HEALTH_AND_FITNESS
"""com.xiaomi.discover""",LIFESTYLE
"""com.android.updater""",TOOLS
"""il.co.agora.www.twa""",SHOPPING
"""com.mi.appfinder""",TOOLS
"""org.chromium.webapk.a9e0da0036cb038c1_v2""",COMMUNICATION
"""com.degoo.android""",PRODUCTIVITY
"""com.dropbox.android""",PRODUCTIVITY
"""com.mi.global.bbs""",SOCIAL
"""com.xiaomi.account""",LIFESTYLE
"""org.inaturalist.seek""",EDUCATION
"""com.zynga.boggle""",GAME_WORD
"""com.underthing.focus.friend""",PRODUCTIVITY
"""com.wma.bruxism.reseach.cloud.bruxappresearchcloud""",MEDICAL
"""com.google.android.apps.youtube.kids""",ENTERTAINMENT
"""com.pwc_handicapped_idf""",PRODUCTIVITY
"""com.paypal.android.p2pmobile""",FINANCE
"""ipanel.twolink.il.co.ipanel""",BUSINESS
"""com.android.providers.downloads.ui""",VIDEO_PLAYERS
"""me.remini.naamat""",PHOTOGRAPHY
"""com.lgeha.nuts""",LIFESTYLE
"""com.android.mms""",COMMUNICATION
"""com.avg.android.vpn""",TOOLS
"""com.harman.ble.jbllink""",ENTERTAINMENT
"""com.lbe.security.miui""",TOOLS
"""com.ifeel.ifeeluserchat""",HEALTH_AND_FITNESS
"""web2application.a271736354874.com.myapplication""",BUSINESS
"""com.androbaby.original2048""",GAME_PUZZLE
"""com.ogden.memo""",TOOLS
"""com.tplink.iot""",LIFESTYLE
"""il.co.jws.app""",WEATHER
"""com.okcupid.okcupid""",DATING
"""com.goldtouch.mako""",FOOD_AND_DRINK
"""com.bibas.worksclocks""",TOOLS
"""com.dreame.smartlife""",LIFESTYLE
"""com.soundcloud.android""",MUSIC_AND_AUDIO
"""com.gworld.crazyspin""",GAME_CASUAL
"""puzzle.merge.adventure""",GAME_CASUAL
"""com.mergegames.gossipharbor""",GAME_PUZZLE
"""com.ok2go.ok2go""",BUSINESS
"""com.fox_dreamcard_app""",LIFESTYLE
"""com.samsung.wearable.watch7plugin""",TOOLS
"""com.tibet.gnet""",MAPS_AND_NAVIGATION
"""com.firsttouchgames.dls3""",GAME_SPORTS
"""com.dic.academikJr""",BOOKS_AND_REFERENCE
"""com.rlbttef.kvkpx""",GAME_CASUAL
"""com.nebula.mahjongtile""",GAME_BOARD
"""com.xiaomi.bluetooth""",NA
"""com.mathbrain.sudoku""",GAME_PUZZLE
"""com.iherb""",SHOPPING
"""com.fzones.removeit""",TOOLS
"""com.photo.imageeditor.photography""",PHOTOGRAPHY
"""com.uptodate.android""",MEDICAL
"""com.tgelec.kidiwatch""",EDUCATION
"""com.stepsappgmbh.stepsapp""",HEALTH_AND_FITNESS
"""com.yandex.yangodeli""",FOOD_AND_DRINK
"""com.pepper.ldb""",FINANCE
"""com.extramembers.app""",SHOPPING
"""com.grapetree.meowtower""",GAME_PUZZLE
"""com.ideomobile.mercantile""",FINANCE
"""com.aviary.android.feather""",GAME_ACTION
"""org.chromium.webapk.add11b2e07dbde4a3_v2""",COMMUNICATION
"""com.hot.benefits""",ENTERTAINMENT
"""il.co.cocacola.app""",ENTERTAINMENT
"""com.haimtov.shareitt""",SHOPPING
"""me.bluemail.mail""",PRODUCTIVITY
"""com.pais.plus.android""",SHOPPING
"""com.mashov.main""",EDUCATION
"""io.eightesense.app""",LIFESTYLE
"""com.google.android.ext.services""",TOOLS
"""com.quickode.mishpuhe""",PRODUCTIVITY
"""com.thegrizzlylabs.geniusscan.free""",BUSINESS
"""com.google.android.apps.googleassistant""",TOOLS
"""com.discord""",COMMUNICATION
"""com.micromedex.coremobile""",MEDICAL
"""com.luckyBlackCatDev.dateplay""",GAME_CARD
"""com.google.android.youtube""",VIDEO_PLAYERS
"""com.android.documentsui""",TOOLS
"""com.whatsapp""",COMMUNICATION
"""com.android.vending""",SHOPPING
"""android""",TOOLS
"""com.google.android.gm""",COMMUNICATION
"""com.miui.global.packageinstaller""",TOOLS
"""com.google.android.apps.searchlite""",TOOLS
"""com.google.android.permissioncontroller""",TOOLS
"""com.google.android.dialer""",TOOLS
"""com.google.android.apps.docs""",PRODUCTIVITY
"""com.android.chrome""",COMMUNICATION
"""com.google.android.gms""",COMMUNICATION
"""com.labfront.production""",HEALTH_AND_FITNESS
"""com.rumble_mobile.clalit""",MEDICAL
"""com.google.android.calendar""",PRODUCTIVITY
"""com.mobitti.huji""",EDUCATION
"""com.spotify.music""",MUSIC_AND_AUDIO
"""co.hopon.client""",MAPS_AND_NAVIGATION
"""com.miui.calculator.go""",TOOLS
"""com.google.android.apps.photosgo""",PHOTOGRAPHY
"""com.android.settings""",TOOLS
"""com.gogo.launcher""",PERSONALIZATION
"""io.m_Path.kuleuven""",HEALTH_AND_FITNESS
"""com.intsig.camscanner""",PRODUCTIVITY
"""tfilon.tfilon""",BOOKS_AND_REFERENCE
"""com.google.android.apps.messaging""",COMMUNICATION
"""com.MizrahiTefahot.nh""",FINANCE
"""com.myadventure.myadventure""",GAME_ARCADE
"""com.android.keychain""",BUSINESS
"""com.android.deskclock.go""",TOOLS
"""com.microsoft.appmanager""",PRODUCTIVITY
"""com.truecaller""",COMMUNICATION
"""com.google.android.googlequicksearchbox""",TOOLS
"""com.samsung.android.incallui""",TOOLS
"""com.action.saveroneuma""",GAME_ACTION
"""com.sec.android.daemonapp""",GAME_PUZZLE
"""com.microsoft.office.outlook""",PRODUCTIVITY
"""com.bnhp.payments.paymentsapp""",FINANCE
"""com.sec.android.gallery3d""",PHOTOGRAPHY
"""com.sec.android.app.clockpackage""",TOOLS
"""com.rumble_mobile.ovdimbari""",VIDEO_PLAYERS
"""com.google.android.apps.walletnfcrel""",FINANCE
"""com.sec.android.app.launcher""",PERSONALIZATION
"""com.sec.android.app.sbrowser""",COMMUNICATION
"""com.samsung.android.dialer""",TOOLS
"""com.facebook.katana""",SOCIAL
"""com.rumble_mobile.leumit""",VIDEO_PLAYERS
"""com.facebook.orca""",COMMUNICATION
"""com.sec.android.app.popupcalculator""",TOOLS
"""com.sec.android.app.camera""",PHOTOGRAPHY
"""cn.wps.moffice_eng""",PRODUCTIVITY
"""com.moblin.superpharm""",LIFESTYLE
"""leumit.mobile""",MEDICAL
"""com.google.android.apps.maps""",TRAVEL_AND_LOCAL
"""com.alibaba.aliexpresshd""",SHOPPING
"""com.unicell.pangoandroid""",MAPS_AND_NAVIGATION
"""com.waze""",MAPS_AND_NAVIGATION
"""com.android.intentresolver""",PRODUCTIVITY
"""com.samsung.android.app.dressroom""",LIFESTYLE
"""com.goldtouch.ynet""",NEWS_AND_MAGAZINES
"""com.americanexpress.android""",FINANCE
"""org.telegram.messenger""",COMMUNICATION
"""com.miui.gallery""",PHOTOGRAPHY
"""com.miui.securitycenter""",LIFESTYLE
"""com.miui.cleaner""",TOOLS
"""com.android.camera""",PHOTOGRAPHY
"""com.dts.behatsdaa""",LIFESTYLE
"""com.miui.mediaeditor""",PHOTOGRAPHY
"""com.miui.screenshot""",TOOLS
"""com.channel2.mobile.ui""",NEWS_AND_MAGAZINES
"""com.miui.home""",LIFESTYLE
"""com.ideomobile.leumicard""",FINANCE
"""aatz.megaleaan.com""",LIFESTYLE
"""com.miui.calculator""",TOOLS
"""com.google.android.apps.magazines""",NEWS_AND_MAGAZINES
"""com.zzkko""",SHOPPING
"""com.finitione.tov.android""",TOOLS
"""com.google.android.apps.authenticator2""",TOOLS
"""il.co.inmanage.azrieli""",SHOPPING
"""led.android.burgersaloon""",TOOLS
"""com.Shufersal""",FOOD_AND_DRINK
"""com.qnomy.myvisit.app""",PRODUCTIVITY
"""com.moblin.israeltrain""",TOOLS
"""il.co.tmura.kklplus""",LIFESTYLE
"""com.android.server.telecom""",COMMUNICATION
"""com.google.android.contacts""",COMMUNICATION
"""com.maccabident.maccabidentAPP""",MEDICAL
"""com.google.android.photopicker""",PHOTOGRAPHY
"""com.google.android.inputmethod.latin""",TOOLS
"""led.android.bbbclub""",TOOLS
"""com.alert.meserhadash""",TOOLS
"""il.co.yellow.app""",FINANCE
"""com.android.printspooler""",TOOLS
"""com.otsar.nativeapp""",FINANCE
"""com.weekin.weekinfitness2""",HEALTH_AND_FITNESS
"""com.samsung.android.calendar""",PRODUCTIVITY
"""com.apple.android.music""",MUSIC_AND_AUDIO
"""com.google.android.packageinstaller""",TOOLS
"""com.duolingo""",EDUCATION
"""com.ideomobile.hapoalim""",FINANCE
"""com.wanderlog.android""",TRAVEL_AND_LOCAL
"""com.tranzmate""",MAPS_AND_NAVIGATION
"""com.wolt.android""",FOOD_AND_DRINK
"""cubbbixapps.fid""",FINANCE
"""com.sec.android.mimage.photoretouching""",PHOTOGRAPHY
"""simplyclub.co.il.mrpretzels""",BUSINESS
"""com.shufersal.be""",LIFESTYLE
"""co.il.strauss.group.consumers""",LIFESTYLE
"""com.miui.aod""",PERSONALIZATION
"""com.samsung.android.app.notes""",PRODUCTIVITY
"""us.zoom.videomeetings""",BUSINESS
"""spareeat.com.spareeat""",FOOD_AND_DRINK
"""com.samsung.android.bixby.agent""",TOOLS
"""com.novakid.student""",EDUCATION
"""com.openai.chatgpt""",PRODUCTIVITY
"""com.amila.parenting""",PARENTING
"""com.payboxapp""",FINANCE
"""com.instagram.android""",SOCIAL
"""pdf.pdfreader.viewer.editor.free""",PRODUCTIVITY
"""com.samsung.android.app.contacts""",COMMUNICATION
"""com.linkedin.android""",BUSINESS
"""com.google.android.documentsui""",TOOLS
"""il.co.inmanage.carrefour_android""",SHOPPING
"""com.android.deskclock""",TOOLS
"""com.einnovation.temu""",SHOPPING
"""com.miui.videoplayer""",ENTERTAINMENT
"""com.wssyncmldm""",FINANCE
"""com.provisiontwo.isr""",TOOLS
"""com.google.android.apps.docs.editors.sheets""",PRODUCTIVITY
"""com.ideomobile.discount""",FINANCE
"""net.myanimelist.app""",ENTERTAINMENT
"""cloud.tabit.tflwl.prd.black""",BUSINESS
"""com.android.systemui""",PERSONALIZATION
"""com.ezt.pdfreader.pdfviewer""",PRODUCTIVITY
"""com.katans.EasyMessage""",COMMUNICATION
"""com.google.android.apps.kids.familylink""",TOOLS
"""com.moh.tipatHalav""",PARENTING
"""com.microsoft.office.word""",PRODUCTIVITY
"""com.xiaomi.mipicks""",TOOLS
"""app.tabit.il_prd_wl_falafelbaribua""",FOOD_AND_DRINK
"""rebar.com.yh""",FOOD_AND_DRINK
"""com.samsung.android.messaging""",TOOLS
"""com.keshet.mako.VOD""",ENTERTAINMENT
"""com.samsung.android.app.spage""",LIFESTYLE
"""com.xiaomi.calendar""",TOOLS
"""com.osapps.airremote""",TOOLS
"""com.babyrelaxchannel.lullabies3""",MUSIC_AND_AUDIO
"""com.android.phone""",TOOLS
"""il.co.mintapp.buyme""",SHOPPING
"""com.sec.android.app.voicenote""",TOOLS
"""com.onoapps.cal4u""",TOOLS
"""com.sec.android.app.myfiles""",TOOLS
"""com.ofermalls.myofer""",SHOPPING
"""com.samsung.android.app.galaxyfinder""",LIFESTYLE
"""com.ewavemobile.songwaiting""",TOOLS
"""il.co.amazing.roladin""",SHOPPING
"""com.garmin.android.apps.connectmobile""",HEALTH_AND_FITNESS
"""com.xiaomi.scanner""",TOOLS
"""com.google.android.apps.tachyon""",COMMUNICATION
"""co.il.move_club.amit""",HEALTH_AND_FITNESS
"""air.com.cellogroup.Cellopark""",MAPS_AND_NAVIGATION
"""com.pcentra.ravkavonlinemobile""",MAPS_AND_NAVIGATION
"""com.osp.app.signin""",TOOLS
"""com.sec.android.app.SecSetupWizard""",COMMUNICATION
"""com.samsung.android.themestore""",PERSONALIZATION
"""com.finch.finch""",HEALTH_AND_FITNESS
"""ai.chat.gpt.bot""",PRODUCTIVITY
"""com.mosko.bus""",MAPS_AND_NAVIGATION
"""com.femi.patient.leumit""",MEDICAL
"""com.google.android.captiveportallogin""",LIFESTYLE
"""com.google.android.tts""",TOOLS
"""org.schabi.newpipe""",VIDEO_PLAYERS
"""com.ideomobile.hmarket""",FINANCE
"""com.facebook.appmanager""",SOCIAL
"""com.samsung.android.smartsuggestions""",LIFESTYLE
"""com.samsung.android.contacts""",COMMUNICATION
"""com.microsoft.skydrive""",PRODUCTIVITY
"""com.alkobyshai.crosswordsheb""",GAME_WORD
"""com.miui.notes""",PRODUCTIVITY
"""miui.systemui.plugin""",TOOLS
"""com.teacapps.barcodescanner""",TOOLS
"""com.samsung.android.emergency""",COMMUNICATION
"""com.ichi2.anki""",EDUCATION
"""com.google.android.apps.translate""",TOOLS
"""com.google.android.apps.subscriptions.red""",PRODUCTIVITY
"""com.samsung.android.game.gametools""",PERSONALIZATION
"""com.netflix.NGP.GTASanAndreasDefinitiveEdition""",GAME_ACTION
"""com.maatayim.expresscitywash""",AUTO_AND_VEHICLES
