apps,genre
"""com.okcupid.okcupid""",DATING
"""co.hinge.app""",DATING
"""com.facebook.katana""",FACEBOOK
"""com.facebook.orca""",FACEBOOK
"""com.facebook.appmanager""",FACEBOOK
"""com.wolt.android""",FOOD_DELIVERY
"""com.mishloha.mishapp""",FOOD_DELIVERY
"""com.sodexo.mysodexo""",FOOD_DELIVERY
"""com.devsence.pizzahut""",FOOD_DELIVERY
"""clalitr.co.il""",HEALTH
"""com.ideomobile.maccabipregnancy""",HEALTH
"""com.shebapp""",HEALTH
"""com.rumble_mobile.clalit""",HEALTH
"""com.rumble_mobile.leumit""",HEALTH
"""leumit.mobile""",HEALTH
"""com.maccabident.maccabidentAPP""",HEALTH
"""com.femi.patient.leumit""",HEALTH
"""com.ideomobile.maccabi""",HEALTH
"""co.il.move_club.maccabiMove""",HEALTH
"""clalit.android""",HEALTH
"""com.instagram.android""",INSTAGRAM
"""com.instagram.lite""",INSTAGRAM
"""com.linkedin.android""",LINKEDIN
"""com.spotify.music""",MUSIC
"""com.apple.android.music""",MUSIC
"""com.waze""",NAVIGATION
"""com.goldtouch.ynet""",NEWS
"""com.red.alert""",RED_ALERT
"""com.keshet.v1""",STREAMING
"""com.keshet.mako.VOD""",STREAMING
"""com.netflix.NGP.GTASanAndreasDefinitiveEdition""",STREAMING
"""com.netflix.mediaclient""",STREAMING
"""com.disneyplus.mea""",STREAMING
"""com.netflix.NGP.Storyteller""",STREAMING
"""org.telegram.messenger""",TELEGRAM
"""com.twitter.android""",TWITTER
"""com.mobitti.yvc""",UNIVERSITY
"""com.moodle.moodlemobile""",UNIVERSITY
"""com.mobitti.telhai""",UNIVERSITY
"""com.mobitti.huji""",UNIVERSITY
"""com.whatsapp""",WHATSAPP
"""com.whatsapp.w4b""",WHATSAPP
